Date	Year	state_name	Num_Institutions	Total_Assets	Num_Offices	Depoits($000)	HHI
06-30-2004	2004	Connecticut	72	1,907,128,317	1,188	73,841,388	988.7733
06-30-2004	2004	Delaware	43	393,793,244	255	105,824,781	1,596.4556
06-30-2004	2004	District Of Columbia	27	1,488,686,821	199	18,605,335	1,600.2018
06-30-2004	2004	Federated States Of Micronesia	2	828,469	6	73,648	10,000.0000
06-30-2004	2004	Florida	353	2,660,393,410	4,897	300,961,284	821.2321
06-30-2004	2004	Georgia	368	2,193,059,100	2,596	132,040,745	635.5484
06-30-2004	2004	Guam	7	716,077,383	35	1,551,414	2,099.6094
06-30-2004	2004	Hawaii	10	36,434,403	294	23,060,212	2,194.0538
06-30-2004	2004	Idaho	34	1,552,244,664	478	13,840,260	1,148.4515
06-30-2004	2004	Illinois	801	2,297,666,426	4,393	281,923,603	337.1790
06-30-2004	2004	Indiana	226	1,145,098,142	2,275	81,096,665	408.9656
06-30-2004	2004	Iowa	434	1,440,921,572	1,541	51,237,631	231.5761
06-30-2004	2004	Kansas	394	1,172,123,740	1,485	46,548,935	215.2344
06-30-2004	2004	Kentucky	265	590,205,050	1,724	56,857,725	311.5439
06-30-2004	2004	Louisiana	177	207,851,273	1,525	55,171,416	932.5740
06-30-2004	2004	Maine	42	349,428,630	505	16,704,957	735.7490
06-30-2004	2004	Marshall Islands	1	749,203	2	0	0.0000
06-30-2004	2004	Maryland	147	1,555,059,837	1,676	82,055,531	692.7516
06-30-2004	2004	Massachusetts	216	608,606,669	2,115	172,721,393	826.7423
06-30-2004	2004	Michigan	195	854,666,887	3,001	136,072,558	779.1737
06-30-2004	2004	Minnesota	510	680,396,129	1,715	94,437,017	1,508.3343
06-30-2004	2004	Mississippi	111	223,631,308	1,124	33,474,850	600.1881
06-30-2004	2004	Missouri	397	1,122,583,346	2,189	87,090,347	417.9651
06-30-2004	2004	Montana	83	582,339,383	365	11,911,022	569.4906
06-30-2004	2004	Nebraska	281	610,908,210	997	32,892,512	419.4125
06-30-2004	2004	Nevada	52	1,942,626,221	474	40,524,161	1,085.0712
06-30-2004	2004	New Hampshire	40	335,514,625	415	29,364,724	1,662.6341
06-30-2004	2004	New Jersey	173	2,621,639,295	3,157	211,318,456	633.1092
06-30-2004	2004	New Mexico	67	1,222,740,489	490	18,172,242	906.4240
06-30-2004	2004	New York	239	4,248,027,883	4,837	637,592,451	1,259.0661
06-30-2004	2004	North Carolina	130	1,471,294,970	2,510	163,898,226	2,165.1621
06-30-2004	2004	North Dakota	110	578,892,961	421	11,399,807	379.8126
06-30-2004	2004	Northern Mariana Islands	4	21,255,648	10	522,422	3,228.4244
06-30-2004	2004	Ohio	318	1,095,298,487	3,950	200,199,727	568.6161
06-30-2004	2004	Oklahoma	285	876,546,570	1,242	46,322,095	364.0709
06-30-2004	2004	Oregon	55	1,579,227,809	1,030	39,164,637	1,110.4647
06-30-2004	2004	Palau	2	832,312	2	9,016	10,000.0000
06-30-2004	2004	Pennsylvania	288	1,120,735,355	4,608	210,671,796	520.3015
06-30-2004	2004	Puerto Rico	12	789,598,565	552	44,410,308	1,492.9442
06-30-2004	2004	Rhode Island	23	323,478,115	233	19,881,217	2,397.2983
06-30-2004	2004	South Carolina	107	1,496,307,784	1,269	48,085,048	791.5193
06-30-2004	2004	South Dakota	98	638,262,781	448	53,277,826	5,507.0933
06-30-2004	2004	Tennessee	233	1,515,620,864	2,094	90,193,636	645.4740
06-30-2004	2004	Texas	728	3,089,063,443	5,480	310,346,403	444.6683
06-30-2004	2004	Utah	73	880,738,021	583	102,048,105	2,988.7520
06-30-2004	2004	Vermont	24	177,068,049	273	9,013,662	1,391.3234
06-30-2004	2004	Virgin Islands Of The U.S.	4	39,482,126	21	1,713,190	4,164.1574
06-30-2004	2004	Virginia	168	1,783,479,547	2,377	147,775,388	732.7635
06-30-2004	2004	Washington	117	1,602,966,962	1,799	87,424,073	1,077.0684
06-30-2004	2004	West Virginia	91	300,395,480	638	22,660,248	652.0064
06-30-2004	2004	Wisconsin	322	713,369,902	2,254	96,110,936	593.2112
06-30-2004	2004	Wyoming	51	572,415,255	205	7,882,896	594.7231
06-30-2005	2005	Alabama	178	983,060,780	1,454	65,307,284	774.9987
06-30-2005	2005	Alaska	9	496,320,036	134	6,434,378	2,667.6512
06-30-2005	2005	American Samoa	2	10,337,241	5	152,209	5,001.0134
06-30-2005	2005	Arizona	81	3,486,969,738	1,140	72,806,264	1,522.4154
06-30-2005	2005	Arkansas	174	1,607,641,690	1,370	40,995,321	320.8982
06-30-2005	2005	California	333	2,974,317,776	6,621	753,644,131	972.3128
06-30-2005	2005	Colorado	206	2,382,885,349	1,464	70,409,328	538.2670
06-30-2005	2005	Connecticut	71	2,901,607,259	1,197	76,936,520	949.7396
06-30-2005	2005	Delaware	43	604,509,304	263	138,758,109	1,572.9137
06-30-2005	2005	District Of Columbia	29	2,211,335,844	211	22,629,913	1,668.0033
